Query,Interest,Year,ID,Title,Link,Funding,Organization,PI,ActivityCode
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11374055,The Molecular Basis of R249W LMNA-related Congenital Muscular Dystrophy,https://reporter.nih.gov/project-details/11374055,424743,"UNIV OF MARYLAND, COLLEGE PARK",,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11352040,Echinocandin Cross-resistance and Hetero-resistance,https://reporter.nih.gov/project-details/11352040,412324,JOHNS HOPKINS UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11359654,Neuropeptide Y Receptor Signaling in Gut GVHD: Targeting Y1/Y2 Pathways for Immune Modulation,https://reporter.nih.gov/project-details/11359654,164500,COLUMBIA UNIVERSITY HEALTH SCIENCES,,R03
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11344989,Immune checkpoint receptors and their blockade in skin and gut,https://reporter.nih.gov/project-details/11344989,602641,UNIVERSITY OF CHICAGO,,R37
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11347745,Efficacy of targeting GAPM3 to block acute and chronic Toxoplasma gondii infections,https://reporter.nih.gov/project-details/11347745,463290,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11355774,Development of Adipose Derived Stems Cells System for HCMV latency,https://reporter.nih.gov/project-details/11355774,148519,UNIVERSITY OF TENNESSEE KNOXVILLE,,R03
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11365750,The impact of the cord blood methylome on early-onset pediatric atopic dermatitis,https://reporter.nih.gov/project-details/11365750,784314,HENRY FORD HEALTH + MICHIGAN STATE UNIVERSITY HEALTH SCIENCES,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11449110,Immune reprogramming with bioengineered scaffolds for the treatment of biofilm infection,https://reporter.nih.gov/project-details/11449110,762758,UNIVERSITY OF NEBRASKA MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11374090,Tumor-targeted delivery of tetanus toxoid by Listeria reduces glioblastomas in mice,https://reporter.nih.gov/project-details/11374090,431970,ALBERT EINSTEIN COLLEGE OF MEDICINE,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11346421,Driving Innovation in Renal Therapeutics by Harnessing Novel Molecular Pathways of Renal Injury in Nephropathic Cystinosis,https://reporter.nih.gov/project-details/11346421,736509,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11359536,Modeling bone metastasis and tumor dormancy in prostate cancer,https://reporter.nih.gov/project-details/11359536,820855,COLUMBIA UNIVERSITY HEALTH SCIENCES,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11275854,"Differentiation, fate, and function of pathogenic T helper cells in graft-versus-host disease",https://reporter.nih.gov/project-details/11275854,775740,PURDUE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11366090,A novel eNAMPT-neutralizing mAb to reduce antimicrobial resistance following hospital- and ventilator-associated bacterial pneumonia,https://reporter.nih.gov/project-details/11366090,861088,UNIVERSITY OF FLORIDA,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11356472,Elucidating the molecular nature and evolutionary conservation of RNA pathogen-associated molecular patterns (PAMPs) across the poxvirus family,https://reporter.nih.gov/project-details/11356472,209499,UNIVERSITY OF TEXAS AT AUSTIN,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11405985,In Situ Structural Biology of HIV-1 Transcription and Latency in CD4⁺ T Cells,https://reporter.nih.gov/project-details/11405985,170980,UNIVERSITY OF OXFORD,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11296190,Integrating High Resolution Elemental Mapping with Spatial Transcriptomics to Analyze Metal Based Pathttps://apps.era.nih.gov/gmii/manage/view.era?applId=11296190#hways in Tumor Growth and Spread,https://reporter.nih.gov/project-details/11296190,743264,CEDARS-SINAI MEDICAL CENTER,,R37
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11356489,Characterization of potent antivirals targeting HBV capsid,https://reporter.nih.gov/project-details/11356489,249225,EMORY UNIVERSITY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11368683,Immunotherapy for Glioblastoma by Targeting an Immunoregulatory Neuropeptide,https://reporter.nih.gov/project-details/11368683,567754,OHIO STATE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11239524,Population genomic screening in primary care practices serving an urban population,https://reporter.nih.gov/project-details/11239524,963225,UNIVERSITY OF PENNSYLVANIA,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11356322,Host-specific profiles of Defective Viral Genomes of influenza virus,https://reporter.nih.gov/project-details/11356322,270443,"SCRIPPS RESEARCH INSTITUTE, THE",,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11227703,Incretin Mimetics for Intercepting Obesity-Related Cancers: Effects and Underlying Mechanisms,https://reporter.nih.gov/project-details/11227703,656285,UNIV OF NORTH CAROLINA CHAPEL HILL,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11279673,Developing Novel High-dimensional Integrative Mediation Analysis Methods and Tools for Cardiovascular Diseases,https://reporter.nih.gov/project-details/11279673,657595,UNIVERSITY OF MINNESOTA,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11306321,Lactic acid sensing is a targetable vulnerability in clear cell Renal Cell Carcinoma,https://reporter.nih.gov/project-details/11306321,529260,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11365416,"Polymicrobial Tickborne Infection Immunology in an Endemic Region of Long Island, New York",https://reporter.nih.gov/project-details/11365416,787580,STATE UNIVERSITY NEW YORK STONY BROOK,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11439220,Reducing Intratumoral Bacteria to Enhance Anti-Tumor Immunity in Oral Squamous Cell Carcinoma,https://reporter.nih.gov/project-details/11439220,640775,CLEVELAND CLINIC LERNER COM-CWRU,,R37
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11297334,Integrative approach to discover genes that disentangle obesity from cardiometabolic risk in a large multi-ancestry study,https://reporter.nih.gov/project-details/11297334,856812,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11391790,Neurodegenerative disease aggregation of TAF15,https://reporter.nih.gov/project-details/11391790,645448,BROWN UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11390038,2026 Cellular and Molecular Fungal Biology Gordon Research Conference and Gordon Research Seminar,https://reporter.nih.gov/project-details/11390038,10490,GORDON RESEARCH CONFERENCES,,R13
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11407402,A role for Nup358/RanBP2 in microtubule-based transport of HIV capsids,https://reporter.nih.gov/project-details/11407402,147822,UNIVERSITY OF NEW SOUTH WALES,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11430004,Reprogramming Virus-Primed Immunity for Targeted Immunotherapy of Ovarian Cancer,https://reporter.nih.gov/project-details/11430004,696221,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11365607,Ferroptotic damage in acute pancreatitis,https://reporter.nih.gov/project-details/11365607,484720,UT SOUTHWESTERN MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11389775,Development of Gene Therapy Approaches to Cerebellar CACNA1A disorders,https://reporter.nih.gov/project-details/11389775,439588,UNIV OF NORTH CAROLINA CHAPEL HILL,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11293637,NextGen Spatial Multi-omics Technologies,https://reporter.nih.gov/project-details/11293637,2677663,NEW YORK GENOME CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11337716,Lineage plasticity sensitizes FGFR3-mutant bladder cancer to FGFR inhibitors,https://reporter.nih.gov/project-details/11337716,637473,UNIVERSITY OF TX MD ANDERSON CAN CTR,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11391624,Co-Regulation of Metabolism by Insulin-Glucagon Fusion Proteins,https://reporter.nih.gov/project-details/11391624,840284,INDIANA UNIVERSITY INDIANAPOLIS,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11447336,Mechanisms and Functional Roles of PARP1 Hyperactivation in Cancer,https://reporter.nih.gov/project-details/11447336,639707,UNIVERSITY OF CALIFORNIA-IRVINE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11365417,Nickel exposure disrupts Sp1/ZEB1-dependent transcriptional regulation,https://reporter.nih.gov/project-details/11365417,3234310,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11296102,Leveraging First Mouse Model Reproducing Human Translocation Renal Cell Carcinoma to Investigate Molecular Mechanisms,https://reporter.nih.gov/project-details/11296102,596501,UT SOUTHWESTERN MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11338811,Mechanisms and pharmacotherapy of neurocognitive deficits in FASD,https://reporter.nih.gov/project-details/11338811,648180,CHILDREN'S RESEARCH INSTITUTE,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11258781,AMS05: Ocrelizumab Discontinuation in Relapsing Multiple Sclerosis,https://reporter.nih.gov/project-details/11258781,1336625,UNIVERSITY OF PENNSYLVANIA,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11237269,BEACON: Building Evidence for Optimal Genomic Screening Implementation in Primary Care,https://reporter.nih.gov/project-details/11237269,664325,WAKE FOREST UNIVERSITY HEALTH SCIENCES,,U01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11290145,Requirements for ZNF292 in cortical development and mechanisms of pathogenesis in neurodevelopmental disorders,https://reporter.nih.gov/project-details/11290145,763894,WASHINGTON UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11291772,Cellular and molecular mechanisms of CCDC120-associated osteopetrosis,https://reporter.nih.gov/project-details/11291772,337072,SOUTHERN CALIFORNIA INST FOR RES/EDUC,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11291912,Developmental characterization of synapses between neurons and oligodendrocyte precursor cells,https://reporter.nih.gov/project-details/11291912,528000,COLD SPRING HARBOR LABORATORY,,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11338722,Defining the Role of Non-Clustered Protocadherins in Forebrain Circuit Assembly,https://reporter.nih.gov/project-details/11338722,513602,YALE UNIVERSITY,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11283124,Environmental sampling for the fungal pathogen Coccidioides spp. in New Mexico,https://reporter.nih.gov/project-details/11283124,520223,"TRIAD NATIONAL SECURITY, LLC",,R21
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11282313,AI-guided structural biology of Cav1.2,https://reporter.nih.gov/project-details/11282313,233250,UNIVERSITY OF WASHINGTON,,R03
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11297803,TACTIC: Tuberculosis Active Case Tracking via Interpersonal Connections,https://reporter.nih.gov/project-details/11297803,487764,BOSTON MEDICAL CENTER,,R01
genomics OR genome OR sequencing OR GWAS OR CRISPR,Which genomics technologies have experienced the fastest NIH funding growth over the last five years?,2020-2025,11344512,Defining Microbial and Host Pathways Driving Asymptomatic C. difficile Colonization Associated with Aging and High-Sugar Diets,https://reporter.nih.gov/project-details/11344512,649186,UNIVERSITY OF LOUISVILLE,,R01
